lat,lon
2.017522,98.963530
2.016527,98.963762
2.015456,98.964042
2.015349,98.964090
2.015275,98.964049
2.015240,98.964025
2.014874,98.963604
2.014775,98.963499
2.014732,98.963438
2.014717,98.963404
2.014714,98.963370
2.014717,98.963338
2.014741,98.963242
2.014778,98.963154
2.014792,98.963058
2.014805,98.962785
2.014795,98.962421
2.014750,98.962048
2.014730,98.961822
2.014742,98.961598
2.014878,98.961238
2.014885,98.961161
2.014873,98.961039
2.014825,98.960910
2.014787,98.960862
2.014955,98.960729
2.015049,98.960674
2.015074,98.960669
2.015131,98.960670
2.015202,98.960700
2.015161,98.960649
2.015138,98.960638
2.015071,98.960638
2.015038,98.960643
2.014940,98.960702
2.014765,98.960837
2.014690,98.960778
2.014428,98.960700
2.014201,98.960664
2.014036,98.960688
2.013845,98.960764
2.013738,98.960793
2.013398,98.960777
2.013195,98.960787
2.012880,98.960862
2.012733,98.960908
2.012648,98.960951
2.012588,98.961034
2.012554,98.961094
2.012500,98.961209
2.012468,98.961334
2.012440,98.961341
2.012433,98.961386
2.012474,98.961376
2.012505,98.961360
2.012539,98.961223
2.012590,98.961114
2.012625,98.961056
2.012675,98.960985
2.012749,98.960947
2.013201,98.960830
2.013397,98.960820
2.013746,98.960836
2.013858,98.960805
2.014048,98.960729
2.014202,98.960707
2.014419,98.960742
2.014670,98.960816
2.014745,98.960877
2.014790,98.960931
2.014831,98.961049
2.014843,98.961162
2.014837,98.961229
2.014700,98.961589
2.014688,98.961824
2.014707,98.962054
2.014753,98.962422
2.014763,98.962786
2.014751,98.963055
2.014736,98.963143
2.014701,98.963229
2.014675,98.963332
2.014671,98.963372
2.014695,98.963459
2.014738,98.963523
2.014841,98.963632
2.015211,98.964055
2.015252,98.964084
2.015350,98.964124
2.015469,98.964083
2.017552,98.963567
2.017522,98.963530
