lat,lon
2.018855,98.965155
2.018161,98.965437
2.017552,98.965634
2.017185,98.965712
2.015936,98.966065
2.015762,98.966130
2.015642,98.966188
2.015454,98.965497
2.015422,98.965509
2.015609,98.966203
2.015087,98.966449
2.014811,98.966562
2.014250,98.966765
2.014012,98.966822
2.013863,98.966851
2.013757, 98.966871
2.013182,98.966949
2.012654,98.966989
2.012462,98.966981
2.012209,98.966990
2.012207,98.967023
2.012239,98.967023
2.012463,98.967012
2.012654,98.967022
2.013186,98.966981
2.013768,98.966900
2.014022,98.966853
2.014263,98.966794
2.014836,98.966586
2.015112,98.966471
2.015776,98.966159
2.015944,98.966095
2.017194,98.965743
2.017562,98.965665
2.018170,98.965468
2.018876, 98.965181
2.018855,98.965155
