lat,lon
2.018906,98.965217
2.018779,98.965286
2.018687,98.965325
2.018539,98.965337
2.018433,98.965361
2.018177,98.965465
2.017689,98.965621
2.017484,98.965706
2.017218,98.965835
2.017136,98.965866
2.017050,98.965886
2.016873,98.965895
2.016773,98.965913
2.016360,98.966052
2.015999,98.966136
2.015918,98.966148
2.015688,98.966205
2.015589,98.966248
2.015515,98.966283
2.015402,98.966350
2.015210,98.966483
2.014774,98.966661
2.014607,98.966743
2.014416,98.966821
2.014182,98.966873
2.014101,98.966914
2.013935,98.967031
2.013840,98.967086
2.013739,98.967118
2.013609,98.967125
2.013310,98.967104
2.013154,98.967113
2.012975,98.967132
2.012368,98.967139
2.012204,98.967145
2.012192,98.967568
2.012504,98.967520
2.012997,98.967476
2.013188,98.967470
2.013609,98.967474
2.013746,98.967456
2.013862,98.967421
2.014058,98.967379
2.014220,98.967367
2.014384,98.967338
2.014513,98.967294
2.015371,98.966892
2.015575,98.966792
2.015748,98.966712
2.016133,98.966530
2.016421,98.966392
2.016499,98.966363
2.016783,98.966307
2.017271,98.966229
2.017708,98.966102
2.017821,98.966057
2.017976,98.965973
2.018048,98.965942
2.018211,98.965903
2.018318,98.965857
2.018536,98.965761
2.018685,98.965726
2.018754,98.965692
2.019123,98.965482
2.018906,98.965217
