lat,lon
2.020132,98.971483
2.019976,98.971561
2.019882,98.971575
2.019690,98.971640
2.019612,98.971692
2.019539,98.971703
2.019486,98.971738
2.019415,98.971749
2.019189,98.971741
2.019038,98.971753
2.018918,98.971781
2.018255,98.972045
2.018120,98.972081
2.018039,98.972085
2.017943,98.972104
2.017878,98.972147
2.017825,98.972226
2.017757,98.972290
2.017631,98.972385
2.017554,98.972393
2.017485,98.972346
2.017440,98.972228
2.017423,98.972062
2.017420,98.971872
2.017379,98.971711
2.016869,98.970150
2.016811,98.969936
2.016732,98.969605
2.016699,98.969490
2.016663,98.969420
2.016627,98.969361
2.016568,98.969310
2.016474,98.969305
2.016408,98.969372
2.016349,98.969405
2.016245,98.969413
2.015558,98.969270
2.015517,98.969256
2.015497,98.969241
2.015489,98.969222
2.015430,98.969188
2.014972,98.969022
2.014718,98.968966
2.014578,98.968961
2.014394,98.968970
2.014268,98.968966
2.013916,98.968858
2.013762,98.968831
2.013646,98.968794
2.013566,98.968737
2.013463,98.968717
2.013353,98.968730
2.013236,98.968724
2.013078,98.968645
2.012915,98.968458
2.012820,98.968396
2.012680,98.968368
2.012590,98.968393
2.012512,98.968427
2.012363,98.968448
2.012170,98.968441
2.012167,98.968598
2.012660,98.968730
2.012958,98.968749
2.014120,98.969017
2.016015,98.969441
2.016170,98.969499
2.016505,98.969596
2.016598,98.969649
2.016634,98.969708
2.016686,98.969857
2.016773,98.970237
2.016821,98.970378
2.017197,98.971629
2.017243,98.971944
2.017363,98.972292
2.017429,98.972398
2.017445,98.972416
2.017515,98.972449
2.017736,98.972458
2.017867,98.972424
2.017949,98.972333
2.018122,98.972236
2.018276,98.972217
2.019046,98.971956
2.019200,98.971947
2.019245,98.971891
2.019350,98.971881
2.019437,98.971846
2.019518,98.971796
2.019921,98.971637
2.020135,98.971533
2.020132,98.971483
