id,luas
1,705.
2,285.
3,220.
4,252.
5,255.
6,120.
7,204.
8,240.
9,192.
10,184.
11,228.
12,204.
13,252.
14,265.
15,102.
16,159.
17,294.
18,62.
19,159.
20,156.
21,42.
22,81.
23,98.
24,219.
25,95.
26,66.
27,66.
28,66.
29,66.
30,66.
31,60.
32,168.
33,154.
34,144.
35,180.
36,180.
37,104.
38,91.
39,78.
40,60.
41,180.
42,78.
43,96.
44,96.
45,108.
46,140.
47,112.
48,126.
49,75.
50,88.
51,130.
52,91.
53,123.
54,130.
55,132.
56,80.
57,56.
58,180.
59,480.
60,84.
61,70.
62,750.
63,100.
64,494.
65,92.
66,148.
67,245.
68,398.
69,323.
70,180.
71,1202.
72,428.
73,98.
74,80.
75,117.
76,180.
77,142.
78,375.
79,130.
80,306.
81,350.
82,160.
83,87.
84,88.
85,87.
86,86.
87,91.
88,198.
89,108.
90,130.
91,548.
92,75.
93,451.
94,80.
95,90.
96,546.
97,66.
98,126.
99,126.
100,91.
101,350.
102,112.
103,126.
104,200.
105,129.
106,126.
107,168.
108,138.
109,252.
110,228.
111,190.
112,156.
113,142.
114,135.
115,102.
116,833.
117,133.
118,185.
119,66.
120,78.
121,66.
122,108.
123,490.
124,84.
125,82.
126,154.
127,75.
128,160.
129,164.
130,42.
131,128.
132,96.
133,132.
134,149.
135,120.
136,720.
137,270.
138,216.
139,580.
140,144.
141,209.
142,320.
143,228.
144,384.
145,201.
146,144.
147,259.
148,265.
149,125.
150,408.
151,162.
152,112.
153,115.
154,112.
155,204.
156,112.
157,66.
158,102.
159,126.
160,66.
161,66.
162,77.
163,110.
164,122.
165,104.
166,182.
167,182.
168,112.
169,488.
170,270.
171,70.
172,123.
173,110.
174,140.
175,212.
176,64.
177,169.
178,91.
179,144.
180,458.
181,297.
182,112.
183,192.
184,308.
185,370.
186,164.
187,145.
188,234.
189,618.
190,561.
191,231.
192,208.
193,412.
194,268.
195,217.
196,427.
197,142.
198,142.
199,169.
200,110.
201,58.
202,87.
203,158.
204,156.
205,66.
206,87.
207,132.
208,60.
209,180.
210,90.
211,192.
212,140.
213,91.
214,325.
215,104.
216,143.
217,144.
218,200.
219,440.
220,1200.
221,375.
222,120.
223,180.
224,120.
225,98.
226,435.
227,203.
228,162.
229,147.
230,126.
231,182.
232,66.
233,275.
234,119.
235,287.
236,182.
237,99.
238,465.
239,192.
240,160.
241,84.
242,72.
